ser,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,educated,population,households,median_income,random_income,ocean_proximity,median_house_value
6219,-117.92,34.07,29,1699,399,,1052,411,3.2122,2.194762129,<1H OCEAN,195500
6220,-117.91,34.06,29,3250,521,,1382,513,5.112,8.277570792,<1H OCEAN,218300
6221,-117.91,34.05,35,3189,,673.53,1727,500,5.0758,5.036999617,<1H OCEAN,211100
6222,-117.92,34.06,35,2894,467,610.6,1420,479,5.184,5.356345992,<1H OCEAN,224900
6223,-117.93,34.06,37,1505,262,,798,259,5.4635,7.394768754,<1H OCEAN,202100
6224,-117.93,34.06,35,1022,183,219.8,628,187,3.9375,3.646209103,<1H OCEAN,187500
6225,-117.93,34.05,36,1340,221,,848,244,4.1731,1.836996485,<1H OCEAN,205100
6226,-117.93,34.05,32,3055,623,817.86,1902,565,4.2926,8.625100611,<1H OCEAN,190700
6227,-117.92,34.07,38,175,22,50.31,129,20,9.7066,1.681476311,<1H OCEAN,182500
6228,-117.93,34.06,28,3342,688,773.5,2210,647,3.4596,8.134022312,<1H OCEAN,202800
6229,-117.95,34.05,34,1428,227,,890,249,5.8722,4.687207737,<1H OCEAN,204800
6230,-117.94,34.06,32,3418,662,861.29,2003,622,4.0333,7.685716529,<1H OCEAN,210200
6231,-117.94,34.06,34,1921,422,504.3,1230,447,3.6648,0.775773149,<1H OCEAN,193900
6232,-117.93,34.07,36,1207,209,,683,213,5.3559,5.906866262,<1H OCEAN,207300
6233,-117.94,34.07,25,1814,404,439.19,1187,363,3.3523,6.896147292,<1H OCEAN,170800
6234,-117.95,34.07,37,1375,260,370.89,951,272,3.2083,1.302934827,<1H OCEAN,195200
6235,-117.95,34.06,32,2252,415,,1370,411,4.6312,5.91230416,<1H OCEAN,184800
6236,-117.96,34.07,35,2819,529,603.2,1508,485,4.6118,5.959552114,<1H OCEAN,191700
6237,-117.96,34.06,34,2226,381,512.4,1464,365,4.4102,5.582767796,<1H OCEAN,183200
6238,-117.96,34.06,31,2017,462,,1462,457,2.067,8.838291378,<1H OCEAN,167300
6239,-117.97,34.05,33,1452,268,535.08,1274,278,3.6563,5.671362849,<1H OCEAN,162700
6240,-117.97,34.06,34,3580,684,,2786,636,4.0469,1.549472461,<1H OCEAN,166800
6241,-117.98,34.06,33,1353,228,,1079,237,4.5417,6.73105265,<1H OCEAN,160300
6242,-117.97,34.06,31,2516,,965.36,2194,497,3.2413,0.739325639,<1H OCEAN,155500
6243,-117.98,34.06,36,2391,407,885.15,1967,398,4.0274,1.400771065,<1H OCEAN,160700
6244,-117.98,34.05,35,2342,426,957.44,2176,416,3.7454,3.904218311,<1H OCEAN,156900
6245,-117.99,34.05,35,1792,317,,1441,306,3.7917,9.615544662,<1H OCEAN,151100
6246,-117.97,34.05,33,2028,422,,1727,371,2.8438,2.234955024,<1H OCEAN,157600
6247,-117.97,34.05,36,931,160,,746,201,3.1667,4.740516656,<1H OCEAN,158000
6248,-117.97,34.05,36,1299,206,,763,216,3.5179,9.868688071,<1H OCEAN,161400
6249,-117.97,34.05,34,2050,495,641.2,1832,465,2.8333,6.136845492,<1H OCEAN,155700
6250,-117.98,34.05,33,1560,315,513.45,1467,313,4.1429,9.701087237,<1H OCEAN,159800
6251,-117.98,34.04,34,2547,537,,2108,498,3.4722,0.580651474,<1H OCEAN,154600
6252,-117.97,34.04,32,1507,295,490.62,1326,324,4.119,8.604280308,<1H OCEAN,163300
6253,-117.97,34.04,28,1686,417,501.35,1355,388,2.5192,6.512892882,<1H OCEAN,157300
6254,-117.96,34.03,35,2093,,,1755,403,3.4115,0.528037705,<1H OCEAN,150400
6255,-117.96,34.03,35,1623,331,628.66,1462,312,3.9803,4.269021412,<1H OCEAN,152600
6256,-117.95,34.03,33,1453,326,563.15,1609,319,3.7578,8.548657811,<1H OCEAN,155800
6257,-117.95,34.03,35,804,159,,727,179,2.7361,7.451291758,<1H OCEAN,145700
6258,-117.96,34.05,35,1254,263,393.12,1092,268,4.6364,4.608136633,<1H OCEAN,163100
6259,-117.96,34.05,36,1475,270,413.64,1149,284,3.0904,0.112815611,<1H OCEAN,158600
6260,-117.95,34.05,35,1309,276,400.68,1113,253,4.375,4.339052483,<1H OCEAN,156500
6261,-117.95,34.04,36,1044,200,363.34,982,205,4.7679,5.362161152,<1H OCEAN,153900
6262,-117.96,34.04,35,1141,212,406.56,924,212,3.1591,6.62449716,<1H OCEAN,148300
6263,-117.96,34.04,33,1458,268,490.6,1115,257,4.7955,5.364158751,<1H OCEAN,158100
6264,-117.96,34.04,34,1381,265,428.4,1020,268,4.025,8.904326088,<1H OCEAN,146900
6265,-117.96,34.05,32,1993,388,554,1385,380,3.7258,6.463089918,<1H OCEAN,181900
6266,-117.94,34.05,34,1729,324,,1341,324,3.7708,1.755565152,<1H OCEAN,163500
6267,-117.94,34.04,36,1431,354,,1367,334,3.5592,7.711830716,<1H OCEAN,160200
6268,-117.94,34.04,34,1403,274,,977,257,3.8409,1.426001734,<1H OCEAN,163000
6269,-117.94,34.05,34,1519,304,517.42,1262,300,3.3409,0.1922526,<1H OCEAN,161200
6270,-117.95,34.05,31,2349,539,709.8,2028,521,3.494,1.281628991,<1H OCEAN,154500
6271,-117.94,34.04,33,1493,331,549.85,1571,354,3.8864,6.422556281,<1H OCEAN,158900
6272,-117.95,34.04,27,2610,846,1033.2,2296,750,2.274,6.517570107,<1H OCEAN,150800
6273,-117.94,34.03,35,1499,289,444.8,1112,268,3.83,8.340566565,<1H OCEAN,149000
6274,-117.94,34.03,35,1375,249,,1015,239,4.0521,9.976514765,<1H OCEAN,151800
6275,-117.95,34.03,33,1782,394,667.48,1517,376,3.3389,9.205647022,<1H OCEAN,157900
6276,-117.93,34.01,23,3188,836,1630.86,3883,840,2.1863,9.307510935,<1H OCEAN,157600
6277,-117.93,34.01,33,1733,361,,1757,375,4.2266,3.674401811,<1H OCEAN,153800
6278,-117.94,34.02,27,5026,955,,3899,930,3.871,7.092293719,<1H OCEAN,162900
6279,-117.95,34.02,19,1129,258,333,900,228,3.875,4.482728707,<1H OCEAN,135600
6280,-117.95,34.02,22,1919,411,,1203,363,4.2578,2.885306757,<1H OCEAN,144100
6281,-117.92,34.03,35,1341,233,368.18,898,216,4.1118,7.679380203,<1H OCEAN,157300
6282,-117.92,34.03,32,1819,375,,1728,375,3.975,9.300102483,<1H OCEAN,162400
6283,-117.92,34.03,35,1469,306,,1285,308,3.9219,9.839835465,<1H OCEAN,159500
6284,-117.93,34.03,35,2160,399,,1694,403,3.8581,9.690326667,<1H OCEAN,163100
6285,-117.93,34.03,30,2246,446,826.65,1837,431,4.7917,3.890372786,<1H OCEAN,164500
6286,-117.93,34.04,23,6361,1168,1832,4580,1109,4.9342,1.433763168,<1H OCEAN,181000
6287,-117.93,34.04,30,1336,239,407.25,905,253,4.8854,3.90281381,<1H OCEAN,178100
6288,-117.9,34.04,15,11989,2185,2594.28,6652,2081,4.5554,7.364471552,<1H OCEAN,278300
6289,-117.9,34.05,33,629,76,88.55,253,75,7.6286,4.77776975,<1H OCEAN,330400
6290,-117.91,34.04,15,8749,1761,1900.08,5278,1691,4.6324,2.953149583,<1H OCEAN,168800
6291,-117.92,34.05,36,2241,419,662.34,1743,448,4.6587,1.003649058,<1H OCEAN,161900
6292,-117.88,34.01,16,6756,1332,1550.15,4429,1299,4.7589,2.271859845,<1H OCEAN,178200
6293,-117.88,34,21,5459,1086,1391.54,3394,1087,3.6308,5.241696777,<1H OCEAN,192100
6294,-117.89,34.01,23,4535,955,1552.4,3881,930,3.6275,5.637165445,<1H OCEAN,154100
6295,-117.9,34.01,27,1702,381,,2091,352,3.7917,2.292207916,<1H OCEAN,131100
6296,-117.9,34.01,27,2383,472,,2079,494,3.9702,1.101719727,<1H OCEAN,141400
6297,-117.91,34.02,17,5973,1384,1565.64,4349,1229,3.2799,7.233579343,<1H OCEAN,199300
6298,-117.9,34.02,15,14058,2486,3238.92,8997,2497,5.0704,5.097329571,<1H OCEAN,226200
6299,-117.91,34.02,22,6269,,2011.32,5587,1251,3.8201,1.437622191,<1H OCEAN,136200
6300,-117.92,34.01,35,3055,634,1532.58,3738,615,3.375,4.909953973,<1H OCEAN,127200
6301,-117.98,34.04,29,1468,310,625.5,1390,276,3.75,2.435672116,<1H OCEAN,190600
6302,-117.96,34.02,33,349,124,,460,83,2.375,1.639986127,<1H OCEAN,133300
6303,-117.98,34.03,21,797,162,179.08,484,166,2.625,9.831353757,<1H OCEAN,191100
6304,-117.9,33.99,18,8076,1789,2396.25,5325,1707,3.443,3.556057209,<1H OCEAN,171900
6305,-117.92,34,36,116,30,77.2,193,35,3.8125,6.961849661,<1H OCEAN,136300
6306,-117.88,34,32,265,51,,170,50,3.9375,6.009269251,<1H OCEAN,187500
6307,-117.89,33.99,22,3272,618,,1784,591,4.0324,5.228697961,<1H OCEAN,211300
6308,-117.87,33.99,21,2837,515,,2031,555,4.9271,6.822368106,<1H OCEAN,209700
6309,-118.01,34.05,37,682,172,,813,173,3.8125,8.765247509,<1H OCEAN,138000
6310,-117.99,34.04,30,4468,959,1610.8,4027,938,3.185,1.244746942,<1H OCEAN,168300
6311,-118.02,34.04,27,5640,1001,1273.68,3538,978,5.065,2.756282837,<1H OCEAN,215400
6312,-118,34.03,25,6909,1154,1564.8,3912,1121,5.257,3.4834403,<1H OCEAN,226100
6313,-117.98,34.02,32,2945,651,735.84,2044,652,3.1979,3.192543909,<1H OCEAN,183900
6314,-117.98,34.02,33,3512,632,,1971,598,4.4653,7.453081512,<1H OCEAN,193200
6315,-117.98,34.01,27,2643,418,604.8,1344,381,5.7057,6.396076386,<1H OCEAN,262100
6316,-117.99,34,26,2988,397,520.98,1371,415,6.6988,0.091483268,<1H OCEAN,382500
6317,-118.02,34.02,21,5992,986,952.92,2647,969,5.2405,6.541567138,<1H OCEAN,302400
6318,-117.97,34.01,33,3530,700,1154.01,2959,679,3.7459,3.948363832,<1H OCEAN,152900
6319,-117.97,34.01,33,2006,381,,1410,346,3.7083,4.849830756,<1H OCEAN,165500
6320,-117.97,34,28,1983,375,,1407,367,3.8319,6.287090517,<1H OCEAN,179000
6321,-117.97,33.99,22,5284,982,992.94,2613,932,4.7332,7.989754575,<1H OCEAN,289900
6322,-117.98,34,22,3632,538,708.48,1968,566,6.019,2.056573051,<1H OCEAN,324900
6323,-117.98,33.99,26,3343,455,543.02,1429,457,7.0778,7.394212026,<1H OCEAN,334300
6324,-117.98,33.98,27,2275,346,,1039,333,6.2217,8.100782741,<1H OCEAN,333500
6325,-117.99,33.98,18,8399,1144,1378.99,3727,1107,6.9695,9.934995717,<1H OCEAN,360400
6326,-117.95,34,34,2376,468,,1858,449,4.1328,9.608191466,<1H OCEAN,176300
6327,-117.96,34,33,5462,952,1340.26,3527,914,4.4038,9.582164436,<1H OCEAN,186700
6328,-117.96,34,34,2777,540,879.3,1954,522,4.5163,7.876608174,<1H OCEAN,183800
6329,-117.92,33.98,10,16414,2919,,8907,2714,6.1552,5.224577877,<1H OCEAN,362500
6330,-117.95,33.98,15,16042,2602,3402.08,7732,2552,5.6716,8.59501376,<1H OCEAN,330400
6331,-117.94,33.99,18,6100,1018,1182.56,3112,982,4.9932,7.973758101,<1H OCEAN,284000
6332,-117.95,33.99,15,3978,692,,2418,665,5.0142,4.457349399,<1H OCEAN,269900
6333,-117.95,33.99,24,1219,177,,610,185,6.7978,8.268832666,<1H OCEAN,325000
6334,-117.95,33.99,25,1075,138,,451,132,6.8492,1.686680356,<1H OCEAN,332200
6335,-117.96,33.99,25,1348,210,290.4,660,200,5.2852,4.542568423,<1H OCEAN,297600
6336,-117.96,33.99,25,2799,388,,1348,389,6.2517,6.65699888,<1H OCEAN,311100
6337,-117.97,33.99,23,3335,570,,1560,555,5.7268,2.293065406,<1H OCEAN,300300
6338,-117.96,33.98,25,1259,184,,599,170,5.7407,8.537443776,<1H OCEAN,302200
6339,-117.88,33.96,16,19059,3079,,10988,3061,5.5469,6.449740287,<1H OCEAN,265200
6340,-117.89,33.98,5,3088,711,,1415,641,2.5125,1.696947462,<1H OCEAN,184500
6341,-117.9,33.98,20,9893,2283,2891.2,7228,2159,3.253,6.891788597,<1H OCEAN,186700
6342,-117.9,33.97,23,7353,1255,1766.16,4014,1124,5.4155,0.934652948,<1H OCEAN,213200
6343,-117.75,34.06,52,1171,318,394.1,1126,276,1.9762,0.89535654,INLAND,105800
6344,-117.75,34.06,52,62,9,16.72,44,16,0.4999,1.764702381,INLAND,112500
6345,-117.74,34.06,4,1391,506,305.34,727,369,1.4722,1.066069228,INLAND,137500
6346,-117.75,34.05,27,437,108,,469,97,1.7206,0.725142521,INLAND,107500
6347,-117.75,34.05,37,378,92,,503,103,2.1908,2.684585794,INLAND,94600
6348,-117.75,34.06,44,477,135,,502,117,2.0156,8.473311105,INLAND,112500
6349,-117.75,34.06,52,24,6,,46,7,1.625,5.752472155,INLAND,67500
6350,-117.94,34.15,33,859,144,159.98,421,138,4.4821,3.271899504,INLAND,220100
6351,-117.95,34.16,17,7116,1089,1344.44,3538,1083,6.2654,1.053387413,INLAND,273800
6352,-117.94,34.14,33,1620,283,,868,275,5.411,8.834605851,INLAND,219400
6353,-117.95,34.14,13,3859,710,821.88,2283,759,4.5594,2.46428919,INLAND,184500
6354,-117.95,34.14,33,1943,440,610.4,1526,353,3.038,1.341282771,INLAND,137500
6355,-117.96,34.14,27,2221,542,531.2,1328,523,2.5275,5.536585136,INLAND,151700
6356,-117.96,34.14,33,1994,405,,993,403,3.766,9.173888271,INLAND,163900
6357,-117.96,34.14,9,907,207,,619,194,3.9464,2.685693381,INLAND,179600
6358,-117.97,34.14,15,3595,964,809.16,1839,877,2.6014,1.049898697,INLAND,150300
6359,-117.97,34.14,33,1328,348,406.35,903,329,3.1094,6.797754191,INLAND,136000
6360,-117.97,34.13,42,683,127,189.35,541,138,3.4375,4.407569041,INLAND,151700
6361,-117.98,34.14,24,1596,388,571.47,1329,352,3.0417,1.738899234,INLAND,148000
6362,-117.97,34.13,33,2038,473,572.02,1546,469,3.4777,3.192696561,INLAND,144500
6363,-117.98,34.13,37,1447,309,549.97,1279,290,4.0083,9.654035128,INLAND,142900
6364,-117.98,34.13,29,2110,460,,1890,448,3.6806,5.52664694,INLAND,130500
6365,-117.97,34.15,33,2474,472,443.8,1268,437,6.4576,4.498433,INLAND,500001
6366,-117.97,34.17,35,5005,848,,2112,813,4.9968,5.130907888,INLAND,295000
6367,-118,34.16,42,1020,156,,398,157,6.101,5.797288761,INLAND,311800
6368,-118.01,34.16,47,1745,270,271.08,753,275,5.532,3.052364042,INLAND,318500
6369,-117.99,34.18,38,2981,432,467.72,1063,437,6.5254,0.941098325,INLAND,365000
6370,-117.99,34.16,40,3838,696,666.36,1851,674,4.2407,2.303130148,INLAND,262000
6371,-118,34.16,52,1354,227,223.02,531,206,4.8059,2.043558865,INLAND,270600
6372,-118,34.15,48,3436,673,616,1540,648,4.275,3.628703998,INLAND,256800
6373,-118.01,34.15,52,2234,472,,986,439,3.9125,5.28187062,INLAND,265500
6374,-118.02,34.15,44,2419,437,449.35,1045,432,3.875,3.46740985,INLAND,280800
6375,-118.02,34.17,32,3868,548,638.78,1558,528,9.4667,0.319372231,INLAND,500001
6376,-118.03,34.16,36,1640,239,304.92,693,253,6.6888,8.847548979,INLAND,500001
6377,-118.03,34.15,43,1694,283,262.86,674,267,4.1797,1.349877357,INLAND,486800
6378,-118.02,34.15,44,2267,426,,980,372,3.6,7.544145091,INLAND,307400
6379,-118.06,34.17,38,2726,398,,1059,380,7.2419,5.140682776,INLAND,410400
6380,-118.05,34.17,45,2535,455,,1036,437,5.0482,5.119778097,INLAND,388900
6381,-118.04,34.17,52,1885,401,336.16,764,373,4.0385,9.01921813,INLAND,265700
6382,-118.04,34.18,37,3134,532,,1220,508,5.2865,3.997288155,INLAND,455400
6383,-118.04,34.16,38,1594,249,,633,247,5.9582,5.37372879,INLAND,350700
6384,-118.05,34.16,36,3908,732,,1688,725,4.5625,5.758280539,INLAND,376800
6385,-118.05,34.16,41,3320,713,,1236,659,3.5694,8.434291961,INLAND,278600
6386,-118.06,34.16,46,1467,298,342.72,816,267,3.6705,9.656318754,INLAND,286500
6387,-118.06,34.16,34,2297,419,354.51,909,412,4.8214,4.524330247,INLAND,362500
6388,-118.07,34.16,35,3585,671,,1401,623,4.125,3.251460692,INLAND,330000
6389,-118.03,34.16,36,1401,218,286.81,667,225,7.1615,3.214846366,INLAND,484700
6390,-118.03,34.16,39,2731,366,403.26,1034,338,9.8098,2.882721743,INLAND,500001
6391,-118.05,34.15,32,5131,665,769.57,1877,622,8.2004,5.348303092,INLAND,500001
6392,-118.06,34.15,37,1980,226,299.71,697,226,15.0001,4.112621857,INLAND,500001
6393,-118.05,34.14,39,2125,295,,862,303,8.9728,4.729294927,INLAND,500001
6394,-118.06,34.13,40,4307,918,689.91,1769,845,3.6341,4.012349243,INLAND,391500
6395,-118.06,34.14,42,2461,379,483.39,1179,360,7.0315,2.304372212,INLAND,437300
6396,-118.06,34.14,40,2662,379,,1151,387,8.4889,4.447779626,INLAND,500001
6397,-118.03,34.14,44,1446,250,310.03,721,243,4.7308,5.776219763,INLAND,352200
6398,-118.04,34.13,22,3359,643,527.61,1227,588,4.645,7.452817381,INLAND,276200
6399,-118.04,34.15,34,1523,311,,676,295,3.3621,7.69276947,INLAND,377200
6400,-118.04,34.13,35,249,31,,268,29,15.0001,7.726447046,INLAND,500001
6401,-118.05,34.13,23,3264,729,575.25,1475,668,3.735,1.820277967,INLAND,218300
6402,-118.06,34.13,28,12139,2873,2304.37,5359,2731,3.292,0.747518697,INLAND,227300
6403,-118.02,34.14,34,1077,257,215.1,478,199,2.6316,7.178496674,INLAND,252800
6404,-118.02,34.13,32,3308,718,811.35,1803,667,3.9464,4.472685778,INLAND,273600
6405,-118.03,34.14,31,4353,1117,865.06,2338,1037,3.0727,9.28575925,INLAND,242600
6406,-118.01,34.13,36,1332,217,278.64,648,203,4.7159,1.640401229,INLAND,365900
6407,-118.02,34.13,33,2874,458,557.55,1239,431,5.2329,8.17007484,INLAND,430900
6408,-118.02,34.13,34,1966,319,401.8,980,297,7.7307,4.737633295,INLAND,429000
6409,-118.03,34.13,33,2352,373,348.25,995,359,4.9583,6.097709788,INLAND,445700
6410,-118.02,34.12,37,2250,360,,989,329,6.1536,8.829951727,INLAND,366000
6411,-118.02,34.11,35,2454,458,499.5,1110,435,3.8029,2.720267443,INLAND,414800
6412,-118.02,34.12,36,1471,246,337.95,751,230,5.4555,4.550738979,INLAND,395100
6413,-118.02,34.12,38,1778,288,,870,281,6.5784,9.294282462,INLAND,408500
6414,-118.03,34.11,34,2837,460,591.36,1344,458,6.5722,6.304211316,INLAND,437400
6415,-118.01,34.14,20,3350,831,,1816,744,2.8352,8.289443774,INLAND,161700
6416,-118.01,34.14,23,3425,754,902.82,2202,729,3.52,3.5355708,INLAND,187300
6417,-118.02,34.14,31,6854,1578,1735.02,4131,1524,3.5878,7.698338684,INLAND,222800
6418,-117.99,34.15,44,2492,611,682.85,1951,596,3.1304,8.728046792,INLAND,185600
6419,-118,34.15,43,2583,633,555.84,1544,617,2.5417,2.009086228,INLAND,178300
6420,-118.01,34.15,32,6597,1579,,3689,1459,3.2377,4.837920798,INLAND,184100
6421,-117.98,34.14,27,6341,1289,1159.6,2899,1192,3.6336,8.661972527,INLAND,235200
6422,-117.99,34.14,30,2346,,,1988,474,2.5625,8.506547118,INLAND,153000
6423,-118,34.13,24,2584,520,691.53,1869,503,3.2841,9.706331377,INLAND,167000
6424,-118,34.14,31,1298,431,486.33,1131,425,1.0548,5.119670748,INLAND,178100
6425,-118,34.14,39,1302,303,,800,291,3.2723,3.926938825,INLAND,166900
6426,-118,34.13,35,1005,224,326.48,742,221,3.5481,2.887509315,INLAND,158100
6427,-117.99,34.13,37,1568,371,,1618,350,2.9605,6.266003885,INLAND,129400
6428,-117.99,34.12,37,1527,331,,1504,324,3.2857,2.933005911,INLAND,130100
6429,-117.99,34.12,35,1040,231,447.2,1040,242,2.5395,2.299174473,INLAND,139200
6430,-118,34.12,37,1340,325,343.36,928,333,3.9219,3.36662199,INLAND,175000
6431,-118,34.12,42,870,170,234.78,546,164,4.625,4.465670048,INLAND,173800
6432,-118.01,34.13,38,3374,671,724.28,1906,640,4.0729,2.367161997,INLAND,212300
6433,-118.01,34.12,43,1185,207,,657,198,4.5491,1.184760562,INLAND,214800
6434,-118.01,34.12,32,1937,332,341.14,922,340,3.94,7.945396582,INLAND,278400
6435,-118.01,34.11,32,1978,536,346.92,826,470,2.5114,2.342085015,INLAND,212200
6436,-118.01,34.11,43,1858,345,463.76,1054,329,3.5625,9.139333426,INLAND,211600
6437,-118.01,34.11,36,1722,320,341.42,794,322,4.2132,1.21407111,INLAND,212200
6438,-118.02,34.1,36,1928,361,403.2,1008,368,4.733,8.803822263,INLAND,233700
6439,-118.02,34.1,36,452,80,101.68,248,83,1.9688,6.116740894,INLAND,226000
6440,-118.02,34.11,39,1504,280,301.56,718,261,4.625,9.927274937,INLAND,219000
6441,-118.03,34.1,38,2301,416,474.76,1079,398,4.4236,4.587685627,INLAND,233600
6442,-118.03,34.1,30,2773,634,,1376,540,2.7857,3.386985839,INLAND,201700
6443,-118.03,34.1,31,2647,539,648.12,1473,520,3.94,8.574565667,INLAND,223900
6444,-118.03,34.1,32,2668,609,,1512,541,2.9422,9.361990748,INLAND,233100
6445,-118.03,34.11,38,2076,361,,988,332,5.9175,2.857687333,INLAND,416900
6446,-118.04,34.11,44,773,120,,405,121,5,0.930723545,INLAND,447100
6447,-118.04,34.11,37,1275,177,233.22,598,174,7.1885,9.180175393,INLAND,500001
6448,-118.05,34.11,42,3677,627,711.6,1779,622,5.1509,4.144932884,INLAND,426500
6449,-118.04,34.13,39,2485,382,450.24,1072,342,6.0878,7.51232261,INLAND,430200
6450,-118.04,34.12,39,2522,380,500.85,1113,357,5.2249,3.363519952,INLAND,445200
6451,-118.04,34.12,44,2007,288,331.56,921,307,6.5989,0.285529235,INLAND,500001
6452,-118.04,34.12,30,2170,318,383.76,984,309,5.6916,9.097071583,INLAND,500001
6453,-118.05,34.12,20,5218,959,805.7,2302,850,3.55,7.179891501,INLAND,476700
6454,-118.06,34.12,25,3891,848,683.76,1848,759,3.6639,6.531817989,INLAND,248100
6455,-118.06,34.12,34,2941,558,747,1660,576,4.5667,4.802601088,INLAND,271500
6456,-118.06,34.12,35,2053,369,469.8,1044,375,4.1875,3.273081385,INLAND,275400
6457,-118.05,34.11,48,1410,304,270.8,677,274,3.2596,4.091216299,INLAND,272400
6458,-118.06,34.11,36,2178,485,,914,412,2.7656,5.421164265,INLAND,239500
6459,-118.06,34.11,39,2603,547,478.4,1196,487,3.0854,4.71587068,INLAND,248700
6460,-118.04,34.1,39,2302,412,572.4,1590,406,4.8017,4.174384924,INLAND,273800
6461,-118.05,34.1,36,1606,318,355.6,889,294,4.7931,8.958943906,INLAND,272600
6462,-118.06,34.1,38,3229,636,607.62,1599,609,3.8646,9.439235905,<1H OCEAN,257100
6463,-118.06,34.1,42,1576,313,243.95,697,282,4.3523,5.64449182,<1H OCEAN,283600
6464,-118.06,34.1,43,1833,355,,786,334,3.5761,2.696499019,<1H OCEAN,256700
6465,-118.06,34.1,38,2438,442,510.12,1308,461,3.6995,0.729293039,<1H OCEAN,260100
6466,-118.04,34.1,38,2317,451,,1155,426,4.1488,2.0401567,INLAND,235300
6467,-118.04,34.09,34,2597,461,,1542,470,4.6211,8.067442453,INLAND,248900
6468,-118.05,34.1,30,2143,427,431.73,1107,416,4.2321,6.367135391,INLAND,252200
6469,-118.05,34.1,42,2065,404,,1313,402,4.0179,7.580327601,INLAND,274300
6470,-118.06,34.09,38,2036,388,,1096,371,4.0625,1.850328096,<1H OCEAN,262500
6471,-118.06,34.1,38,1960,330,393.3,874,308,4.8594,4.20878991,<1H OCEAN,265900
6472,-118.06,34.09,36,1239,238,293.97,717,237,3.244,0.859703616,<1H OCEAN,258100
6473,-118.06,34.09,40,1975,389,412.92,1116,378,4.2898,9.263531817,<1H OCEAN,251600
6474,-118.07,34.09,40,1745,370,530.13,1293,357,2.5474,5.009408999,<1H OCEAN,198100
6475,-118.07,34.09,35,1224,267,354.8,887,276,4.0987,5.860364984,<1H OCEAN,202400
6476,-118.08,34.09,33,2557,578,703.15,1715,530,2.9196,0.240796441,<1H OCEAN,208800
6477,-118.08,34.09,34,1823,457,579.15,1485,401,3.7222,5.060159748,<1H OCEAN,207200
6478,-118.08,34.09,32,3214,718,1019.04,2316,751,3.7066,3.367887771,<1H OCEAN,206800
6479,-118.04,34.09,34,2001,388,628.23,1461,397,3.8304,2.571860504,INLAND,183000
6480,-118.04,34.08,35,1148,258,351,975,253,4.037,0.693905021,<1H OCEAN,173300
6481,-118.04,34.09,32,1339,334,,817,349,2.8333,5.97136433,INLAND,186000
6482,-118.05,34.09,23,602,135,179.96,409,123,3.5268,0.711399571,<1H OCEAN,146400
6483,-118.02,34.09,32,1747,399,503.58,1199,402,3.4286,7.566104986,INLAND,191800
6484,-118.02,34.08,29,2741,667,,2449,677,3.6944,5.407406751,INLAND,175200
6485,-118.02,34.09,24,2080,514,810.16,1976,478,2.6917,7.738318761,INLAND,170000
6486,-118.03,34.09,29,1219,338,449.28,1152,323,2.8029,2.325895673,INLAND,180900
6487,-118.03,34.08,32,1780,484,710.12,1732,454,2.4464,9.014078781,INLAND,169600
6488,-118,34.1,34,2249,460,,1544,441,3.4005,7.816173358,INLAND,176300
6489,-118.01,34.09,29,3402,747,885.78,2331,690,3.6094,8.348987366,INLAND,179200
6490,-118.01,34.1,27,2424,542,,1713,557,3.8085,8.580810738,INLAND,181400
6491,-118.01,34.1,35,2120,412,550,1375,405,3.4609,3.434189662,INLAND,166300
6492,-118,34.08,29,2003,401,,1520,364,3.994,2.36809628,INLAND,195300
6493,-118.01,34.08,30,2281,522,,1969,500,3.6531,0.313231547,INLAND,166300
6494,-118.02,34.08,28,2769,631,,2452,581,2.6071,1.001447718,INLAND,175900
6495,-118.01,34.08,35,1852,358,636.3,1414,347,4.275,8.305690961,INLAND,173600
6496,-118.01,34.09,32,1613,361,513.2,1283,404,3.1944,9.928326417,INLAND,181700
6497,-118,34.08,23,1627,318,549.97,1279,289,4.6467,9.805269184,INLAND,185100
6498,-118.02,34.08,31,2402,632,1273.5,2830,603,2.3333,2.256972292,INLAND,164200
6499,-118.03,34.08,37,775,179,312.18,726,183,3.25,5.738914896,INLAND,159200
6500,-118.03,34.08,42,1597,373,563.73,1311,352,2.9688,9.647970779,INLAND,162800
6501,-118.04,34.07,52,177,59,96.84,269,75,2.3611,9.382013735,<1H OCEAN,131300
6502,-118.05,34.08,34,572,154,323.36,752,182,2.0433,9.115830419,<1H OCEAN,138800
6503,-118.05,34.08,25,4909,1422,2142.69,4983,1293,2.7254,9.497003347,<1H OCEAN,143500
6504,-118.05,34.08,30,1572,427,724.23,1857,428,2.4914,8.57632688,<1H OCEAN,159200
6505,-118.06,34.08,37,778,205,,850,198,2.5119,2.004538099,<1H OCEAN,180500
6506,-118.06,34.08,34,1197,260,395.64,942,245,3.4202,4.397571096,<1H OCEAN,189100
6507,-118.06,34.08,42,1988,402,483.21,1239,402,3.2569,9.106024158,<1H OCEAN,201500
6508,-118.07,34.08,38,2462,553,,1843,538,3.2312,3.905325719,<1H OCEAN,211900
6509,-118.07,34.07,19,1554,393,513.72,1427,370,3.125,4.611420593,<1H OCEAN,207100
6510,-118.07,34.08,37,1210,252,,733,243,2.806,7.14235513,<1H OCEAN,214600
6511,-118.05,34.07,32,4492,1075,,4119,1035,3.2373,2.159718268,<1H OCEAN,183100
